id,name,type,ownership_percentage,address,date_of_birth,nationality
81,Joseph Smith,Company,95.18,"8256 Joseph Cove Suite 179
Mcclurefort, KS 54673",,
82,Peter Coleman,Company,93.01,"9918 Eddie Shoal Suite 876
West Brandyfort, VI 13394",,
83,Julie Ryan,Company,67.99,"9410 Bass Drives Suite 245
South Thomaschester, NM 82766",,
84,Kevin Terry,Person,10.05,"591 French Summit Apt. 962
South Nicole, KS 24464",1963-02-19,Palau
85,Courtney Stephens,Person,47.2,"8070 Dickson Isle Apt. 102
Linland, ME 80142",1971-08-15,Saint Pierre and Miquelon
86,Christopher Ryan,Company,28.09,"722 Sue Points Apt. 704
Turnerchester, TN 09101",,
87,Michael Mitchell,Person,21.16,"6026 Cynthia Coves
Nicholasmouth, KY 62630",1955-05-08,Malta
88,Valerie Brown,Person,68.02,"393 Alexander Ports Apt. 813
Jasminmouth, KS 38842",1945-10-22,Belarus
89,John Anderson,Company,1.65,"193 Robert Burgs Suite 135
South Zacharyshire, NE 73262",,
90,Deborah Villanueva,Person,18.53,"34672 Elizabeth Highway
Michaelfort, AS 53283",1986-09-26,Italy
91,Caitlin Malone,Company,53.5,"68962 Brian Trail Apt. 575
Josefort, AS 21348",,
92,Anne Johnson,Company,27.39,"USCGC Sutton
FPO AP 25228",,
93,Andrew Brown,Company,76.23,"8745 Evan Passage
North Joseph, IN 26795",,
94,David Fields,Person,62.62,"94834 Elliott Ways
Port Mary, WI 67657",2003-09-22,Korea
95,James Walton,Company,7.39,"621 Clayton Squares
Mccoyland, NV 04442",,
96,Charles Lee,Person,22.82,"7771 Lucas Highway Suite 749
Ryanchester, VT 11121",1954-11-06,New Caledonia
97,Matthew Simmons,Person,16.78,"1144 Cummings Forge
West Carolyn, MO 77034",1992-10-30,Peru
98,Steven Cole,Company,56.61,"50522 Alyssa Plains Apt. 018
Markton, UT 40869",,
99,Martha Hudson,Company,31.91,"2127 Mendez Crest
Amyshire, RI 51122",,
100,Brian Herrera,Person,66.17,"PSC 9499, Box 1694
APO AE 23188",1988-02-07,Jordan
