id,name,address,birthdate,nationality,ownership_percentage,type
53,Paula French,"398 Watson Island Apt. 946
Port Tammyside, MP 84669",1982-10-31,New Zealand,6.97,Person
54,Michelle Mcclure,"554 Bridges Extension
Tracyville, MO 39181",1942-04-17,Saint Kitts and Nevis,9.36,Company
55,Alicia Mcdaniel,"7041 Saunders Courts Apt. 948
Christinastad, MT 89067",1969-10-10,Serbia,95.24,Person
56,Kimberly Hunter,"90115 Scott Mills Apt. 777
Matthewmouth, AS 61554",2015-09-01,Saint Helena,21.57,Person
57,Haley Golden,"386 Boyd Crossroad
Alanmouth, WV 76682",1991-11-12,Myanmar,45.17,Company
58,Beverly Carter,"825 Peterson Spur Apt. 480
South Chad, VA 73103",2015-10-30,Bhutan,96.69,Person
59,Mr. Aaron Robles,"620 Davis Ports
Debramouth, OK 79747",2022-10-24,Philippines,87.72,Company
60,Becky Barber,"4735 Dennis Mountains
North Nicholas, NY 36078",1953-05-02,Guinea,7.51,Person
61,Jennifer Pittman,"33505 Karen Lane
Janetburgh, PA 14915",1989-04-13,Guam,31.22,Company
62,Philip Smith,"Unit 5759 Box 7040
DPO AA 53015",1909-03-18,Christmas Island,64.19,Person
63,Timothy Ortega,"983 Lauren Curve
Rogersshire, OK 86874",1977-03-01,San Marino,31.23,Company
64,Brittany Carroll,"595 Gonzalez Turnpike
New Aaron, MA 71385",1936-05-18,Afghanistan,49.8,Person
65,Joshua Jordan,"003 Martin Plaza Suite 383
North Jacqueline, DC 75163",1996-04-26,Ukraine,20.0,Company
66,Rachael Thomas,"50977 Gallegos Squares Suite 091
Suarezton, NV 73861",1974-08-01,Nauru,95.65,Person
67,James Shannon,"7147 Johnny Gardens Apt. 884
East Susan, SC 33472",1914-07-05,Tokelau,79.08,Person
68,Glenda Anderson,"99139 Robin Tunnel Suite 266
Sherryburgh, NC 16301",1936-02-01,Australia,31.89,Company
69,Renee Greene,"300 Jasmine Harbors
North Valerie, HI 09557",1919-12-02,Montenegro,74.67,Company
70,Ryan Howard,"5008 Fields Pass
Thorntonville, VT 48834",1985-02-25,Fiji,37.42,Person
71,Timothy Bell,"746 Ronald Canyon
Barnesshire, VI 12667",1922-12-01,Bosnia and Herzegovina,5.12,Person
72,Kenneth White,"3865 Kenneth Field Apt. 303
North Brian, IL 64133",1917-06-11,Sweden,47.18,Person
73,Courtney Williams,"1101 Ryan Freeway
North Patricia, MT 88075",1954-04-20,British Virgin Islands,81.92,Company
74,Amanda Hopkins,"8309 Kelly Square Apt. 729
Josephchester, FM 93359",1969-02-25,Tuvalu,75.28,Company
75,Adrienne Patel,"USNV Oneill
FPO AA 60833",1908-09-08,Central African Republic,25.5,Person
76,Bryan Smith,"4796 Olson Green
East Marvinfort, PR 37431",2024-05-12,French Southern Territories,51.76,Company
77,Jason Hogan,"6935 Alexander Forges
South Linda, KY 81181",1987-12-14,Luxembourg,88.16,Person
78,Christopher Holt,"67406 Mitchell Flats
Jeffreychester, AK 04761",1998-06-29,Portugal,26.89,Company
79,Mrs. Melissa Wilson,"9613 Caitlin Roads
Jasminechester, AS 66070",2010-06-15,Jersey,36.64,Company
80,Carlos Jenkins,"319 Castillo Dam
Andersonview, RI 98806",2000-02-15,French Polynesia,43.33,Person
81,Alexis Anderson,"631 Victoria Village Apt. 962
West Linda, PA 12064",1986-01-22,Maldives,82.89,Company
82,Kristina Smith,"23433 Sara Plains
Port Maryburgh, PW 61551",1922-09-01,Libyan Arab Jamahiriya,67.71,Person
83,Laura Kaufman,"967 Reynolds Rue
Ericaport, NH 89732",1925-08-23,South Georgia and the South Sandwich Islands,61.78,Company
84,Sara Dunlap,"22343 Robinson Course Suite 645
West Ashleyshire, AS 95101",1917-03-15,Lao People's Democratic Republic,80.4,Company
85,William Davidson,"216 Villarreal Wells
Mcdonaldberg, VI 18594",1974-12-21,Finland,81.91,Person
86,Joseph Cervantes,"52651 Daniel Ways Apt. 785
North Jennifer, FM 93049",2017-07-29,Turkey,7.54,Company
87,Lee Floyd,"558 Michael Lock Apt. 231
Saraview, WY 89627",1973-03-14,Saint Martin,64.28,Company
88,Christina Owens,"0272 Murphy Springs
Morganbury, DC 37995",1965-03-08,United States Minor Outlying Islands,67.31,Person
89,Jordan Martin,"059 Grant Path Suite 882
Emmashire, FL 43695",2023-07-10,Antarctica (the territory South of 60 deg S),74.45,Person
90,Joy Young,"52993 Brian Curve
New Lesliemouth, IL 11988",1945-05-09,Tokelau,53.13,Company
91,Ms. Carol Baker,"89254 Blackburn Cove Suite 292
South Stephanieside, WI 48806",2009-01-18,Bahrain,52.62,Person
92,Joseph Johnson MD,"41250 Joseph Port Suite 195
Lake Kevin, IA 77916",1916-06-26,Swaziland,38.49,Company
93,Billy Miller,"7546 Adkins Pine Suite 577
North Kellyshire, AZ 64259",1991-11-23,Azerbaijan,28.97,Company
94,Eric Mckee,"34226 Callahan Spurs Suite 151
Port Mark, MT 85936",1959-11-02,Turkmenistan,56.95,Company
95,Steven Payne,"PSC 6315, Box 6888
APO AE 19505",1965-02-21,Bahamas,99.8,Company
96,Cynthia Zimmerman,"7456 Colleen Drive Apt. 870
West Andrewmouth, PA 95859",1923-07-14,Mozambique,58.51,Company
97,Melissa Green,"Unit 2261 Box 6578
DPO AP 37386",1964-04-22,Paraguay,48.17,Person
98,Kevin Grant,"33373 Berger Pine
Lake Brittanyville, MA 11770",2017-07-19,Turkey,75.66,Company
99,Nicole Mercer,"4724 Carter Road
South Paulabury, KS 12645",1996-01-25,Malaysia,46.72,Person
100,Sierra Munoz,"13520 Mason Underpass Apt. 367
North Samuel, VA 13490",2016-09-04,Nigeria,59.64,Company
101,Jason Crawford,"691 Sabrina Lane Apt. 175
East Dawnview, OK 63859",1972-03-27,Chile,11.5,Person
102,Alexandra Lopez,"95210 Brooks Lakes
Melaniechester, NV 30212",1974-07-25,Andorra,83.05,Company
103,Matthew Lawson,"5780 Frey Trail Apt. 119
Torresberg, NH 85503",1921-09-13,Bermuda,40.4,Company
104,Kelly Coleman,"USCGC Jones
FPO AA 74871",1952-09-25,San Marino,97.21,Person
105,Jason Ellis,"8988 April Unions Apt. 196
West Loritown, NJ 85322",1917-12-18,Solomon Islands,51.63,Person
106,Maria Hopkins,"Unit 2198 Box 9277
DPO AP 60750",1925-07-17,Tonga,55.8,Person
107,Karla Hayes,"36188 Mallory Corner Suite 141
Port Debbie, PA 65328",1963-03-04,Gabon,31.01,Company
108,Douglas Mason,"8460 Thomas Parkway
New Nicholaston, PA 77378",1990-09-11,Cape Verde,18.45,Person
109,Kristina Smith,"41374 Timothy Branch
Lake Monica, NV 92928",1947-07-06,Greece,42.76,Company
110,Christopher Sparks,"1935 Amy Harbor Suite 429
Victoriamouth, ME 90185",1960-06-01,Burundi,99.03,Company
111,Ronald Evans,"87958 Miller Camp Apt. 782
Ballstad, CT 13966",1963-04-01,Mauritius,28.99,Person
112,Andrea Taylor,"6080 Bryan Spur
Garciachester, MN 39517",1970-01-06,Iceland,60.69,Company
113,Brian Dixon,"6707 Cole Stravenue Suite 552
Hudsonview, WY 72989",1995-03-23,Spain,8.06,Person
114,Kathleen Robinson,"882 Moore Corner Apt. 509
Reedtown, IN 48737",1985-03-22,Mozambique,46.72,Person
115,Thomas Lambert,"27372 Foster Manor Suite 983
South Timothyburgh, MD 42133",2017-03-24,Belize,0.36,Person
116,Casey Jackson,"9129 Teresa Land Apt. 159
Barryborough, NV 01852",1922-09-11,Hungary,24.8,Company
117,Kenneth Evans,"295 Michael Rapids Apt. 180
Georgefort, PW 22009",1924-10-16,Haiti,14.79,Company
118,Angela Baldwin,"976 Damon Pines
Cooperton, DC 55413",2007-01-19,Uruguay,80.36,Company
119,Mindy Hogan,"5684 Jennifer Rapid
South Melissaville, IL 50202",1965-05-20,Solomon Islands,15.73,Company
120,Alexandria Garza,"17536 Callahan Burg
Williamfurt, AZ 07223",1926-05-28,Croatia,78.13,Person
121,Lindsey Keith,"7895 James Unions
Lake Paul, CO 62196",1926-08-13,Sao Tome and Principe,3.37,Person
122,Joseph Jones,"4325 Christian Field Apt. 448
Rhodesburgh, KS 09515",1995-10-10,Paraguay,25.57,Person
123,Randall Johnson,"059 Long Flat Apt. 029
New Kellyburgh, AR 06781",2003-08-10,American Samoa,51.84,Company
124,Charles Jones,"504 Harrison Coves
Russellstad, VA 44051",1953-08-16,Palestinian Territory,93.04,Person
125,Gloria Moore,"31470 Jennifer Well Apt. 839
Jeremyview, KS 43879",1991-03-26,Malta,32.67,Person
126,Catherine Dyer,"713 Heather Curve Suite 618
Kristinatown, ND 37473",1937-12-12,Israel,68.88,Person
127,Adam Martin,"68852 Brown Run
North Brianhaven, AZ 10711",1927-12-05,Saint Pierre and Miquelon,40.89,Person
128,Melissa Griffin,"47590 Gilbert Gateway Apt. 236
Cassandraside, IL 63102",1967-08-30,Equatorial Guinea,17.17,Company
129,Deborah Fuller,"4386 Cole Square
Sarahland, ME 58102",1917-01-27,Tokelau,57.67,Person
130,Lisa Johnson,"550 Melissa Lodge Suite 804
New Hannahville, NM 58860",1912-01-31,Holy See (Vatican City State),34.74,Person
131,Bridget Roberts,"Unit 2002 Box 5733
DPO AE 34670",1911-04-26,Saint Kitts and Nevis,74.02,Company
132,Edward Decker,"157 Armstrong Underpass Suite 519
West Zachary, TX 18639",1936-01-20,Albania,80.86,Person
133,Anthony Mullins,"33107 Robert Summit
South Tamaraburgh, SD 48931",2005-07-23,Lao People's Democratic Republic,17.46,Company
134,Randy Baker,"Unit 3682 Box 6048
DPO AP 19476",1955-08-17,Greece,94.27,Person
135,Robert Simmons,"048 Contreras Route
Chasechester, WI 29465",1952-10-07,Suriname,35.33,Company
136,Randy Wagner,"7276 Bishop Walks Suite 498
Mooreview, NC 99020",1986-09-02,Martinique,45.69,Person
137,Diana Ellis PhD,"PSC 2909, Box 2862
APO AE 32458",1925-12-08,Zambia,23.29,Company
138,Gabriel Figueroa MD,"21679 Price Lodge Suite 266
Robertsmouth, PA 29508",1922-10-16,Saint Lucia,56.76,Person
139,Sheila Guzman,"723 Roberto Park
New Timton, VA 53611",2003-01-16,Croatia,20.93,Person
140,Michelle White,"1819 Ortiz Fork Suite 111
Maryland, OK 38856",1912-01-10,Lithuania,17.91,Company
141,Brent Fitzpatrick,"04130 Lori Stream
New Morganville, WA 47783",1993-08-09,Kiribati,1.52,Person
142,Shaun Patton,"1893 Roman Lakes
Lake Terry, WY 95513",1977-04-25,Western Sahara,39.14,Person
143,Kelly Adams,"7886 Tracey Highway
Jilltown, CA 91241",2021-11-06,United States Virgin Islands,67.14,Person
144,Lisa Cantrell,"21966 Monica Light
Weberborough, OH 25844",1987-11-06,Togo,87.54,Person
145,Marco Whitehead,"30727 Sarah Oval
Lake Alyssa, TN 30556",1951-09-08,Macao,68.28,Person
146,Allen Norman,"55865 Lopez Locks Suite 238
Port Laura, MI 79726",1984-10-20,Sao Tome and Principe,41.83,Company
147,Karl Berry,"815 Burch Plaza
North Daniel, NM 73894",1968-08-01,Iceland,69.89,Company
148,Steven Stanley,"05570 Reed Stravenue
West Emilystad, IL 43596",1996-11-09,Comoros,92.16,Person
149,Lisa Mitchell,"6551 Jensen Trafficway
Hancockton, NH 72528",1976-02-23,Guinea,16.68,Company
150,Anthony Franklin,"5122 Brown Mall Apt. 643
South Deborahville, NM 79350",2021-03-22,Botswana,5.17,Person
151,Joseph Davis,"286 Jonathan Motorway
Reynoldsfurt, MT 55507",1916-01-07,Uganda,93.76,Company
152,Benjamin Buckley,"69857 Amy Meadows
West Aaronport, HI 44484",1931-05-15,Gabon,1.63,Person
153,Janice Hester,"USNV Allison
FPO AE 79791",1945-05-10,Iraq,98.79,Person
154,Keith Ochoa,"662 Jeffrey Fords Apt. 039
North Carolinemouth, WA 04949",1974-10-06,Sudan,54.02,Person
155,Christopher Gay DVM,"6330 Macdonald Lock Apt. 145
Knightport, AL 97320",1983-04-22,Solomon Islands,56.69,Company
156,Kelly Walker,"PSC 6015, Box 0200
APO AA 02387",1917-05-01,Svalbard & Jan Mayen Islands,10.2,Person
157,Jocelyn Smith,"52177 Johnson Plains Suite 498
Danielfort, OK 06614",1950-09-25,Cape Verde,13.31,Company
158,Bradley Patterson,"7365 Padilla Ways Apt. 076
Lake Mary, FM 14257",2006-09-20,Andorra,52.2,Company
159,Jill Ali,"7540 Jennifer Ferry
South Amanda, NV 32477",2004-05-31,Mexico,77.39,Company
160,Angela Hopkins,"6343 Powell Highway
Howardburgh, OH 98656",1956-05-26,Macao,29.68,Company
161,Carol Washington,"5804 Turner Village Apt. 232
Simsland, AK 01275",1916-12-01,Indonesia,59.37,Company
162,Denise Francis,"5639 Fernandez Junctions
South Steven, KS 48607",1953-10-16,Germany,36.91,Company
163,April Rice,"9141 West Via
Amyfurt, NV 14072",1960-08-15,Christmas Island,83.76,Person
164,Lisa Knight,"36174 Malone Ridges
Lake Angelica, TX 93693",2012-07-30,Azerbaijan,90.54,Company
165,Jeffrey Fletcher,"33559 Smith Oval
Angelaberg, GA 98472",2015-07-13,Saint Kitts and Nevis,52.44,Company
166,Jacqueline Santos,"55370 Johnson Spring
Andrewborough, TX 74477",1937-05-08,Solomon Islands,19.74,Company
167,Christopher Anderson,"4784 Brandon Views
Charlesport, AR 47068",1991-01-30,Peru,29.94,Person
168,Amy Sweeney,"6964 Kelly Extension
South Justinhaven, MT 94138",2000-12-18,Swaziland,69.11,Company
169,Todd Mcdonald,"580 Miller Summit Suite 530
Nancymouth, MN 74030",1986-10-18,Mauritania,59.12,Person
170,Holly Brown,"5787 Harris Road Suite 286
South Markton, MO 37910",2009-01-15,Saint Pierre and Miquelon,91.3,Company
171,Heather Schmidt,"536 Erica Court
Coxbury, WA 90321",1934-06-16,Solomon Islands,48.73,Person
172,Seth Baker,"32054 Anderson Crest Apt. 011
Johnsonmouth, AL 36814",1934-02-17,Tunisia,84.87,Company
173,John Olson MD,"405 Robert Estate
West Sandrashire, PA 10425",1965-11-17,Seychelles,59.43,Company
174,Diane Williams,"302 Ramirez Crest
Aprilbury, MS 86767",1984-05-15,New Caledonia,81.16,Person
175,Lisa Burch,"069 Jonathan Stream
Port Robertshire, MN 72057",1934-03-25,Falkland Islands (Malvinas),74.66,Company
176,Amanda Anderson,"662 Curtis Expressway Apt. 311
Lake Stevenport, MT 65428",1953-07-29,Liberia,28.01,Company
177,Amanda Mccormick,"79392 Grant Drive Suite 604
New Robertland, AK 02254",1999-11-13,Croatia,63.45,Company
178,Marcus Hernandez,"124 Cobb Divide
Port Misty, MT 87658",1960-05-28,Bahamas,2.33,Company
179,Bobby May,"493 Crawford Groves
East Brandon, WY 66198",1993-11-01,Luxembourg,43.76,Person
180,Caroline Daniels,"491 Kyle Points
Lake Matthew, MH 89859",1953-09-12,Cayman Islands,38.43,Company
181,Sandra Donovan PhD,"980 Sean Stream Apt. 165
West Jackson, AK 25196",2023-04-20,Angola,23.7,Person
182,Christopher Martinez,"7293 Anderson Ridge Suite 703
Christopherfurt, DE 12132",1956-03-03,Ukraine,76.99,Company
183,Hannah Johnson,"751 Thornton Crossing Suite 261
Powellberg, UT 01929",1966-02-03,Albania,71.73,Person
184,Bradley Reyes,"9008 Mary Parkway
West Brittanyshire, IN 24202",1982-02-09,Norfolk Island,83.01,Person
185,Michelle Torres,"62619 Wells Trace
South Kristenstad, MD 95324",2013-06-29,Kiribati,54.3,Company
186,Tammy Roberts,"344 Beard Locks Apt. 312
New Joeton, CT 31743",1993-05-21,Palestinian Territory,13.32,Company
187,Juan Bradshaw,"840 Yang Throughway Suite 189
West Angelaton, IA 21645",1962-03-25,Panama,29.49,Company
188,Amber Dixon,"0346 Baker Rue
Teresashire, WV 72780",2021-05-26,Malawi,29.15,Person
189,Rhonda Benjamin,"7325 Love Brooks
New Michael, WV 14023",1984-10-09,Gabon,32.76,Person
190,Richard Castaneda,"2096 Kathryn Center
West Benjamin, AZ 06380",2014-01-06,Senegal,16.22,Company
191,Brian Turner,"035 Joy Route Suite 423
South Amy, MP 86965",1922-04-17,Senegal,9.14,Person
192,Daniel Riddle,"28926 Kane Glen
Alexandershire, OK 42336",1980-09-27,Russian Federation,98.54,Company
193,Andrew Martinez,"PSC 8836, Box 1035
APO AA 58969",2016-08-23,Niger,36.9,Person
194,Antonio Bass,"098 Lisa Fall
Michaeltown, OR 51116",1932-07-01,Mexico,29.3,Person
195,Marcia Meyer,"3092 Rose Lights
Dustinfurt, PA 79664",1998-11-14,Congo,85.17,Person
196,Jennifer Wiley,"16172 Stevenson Tunnel Apt. 601
Cynthiafort, VT 95405",1932-08-24,Ecuador,99.85,Person
197,Kelly Patel,"16443 Smith Forks Apt. 942
Ortizchester, OR 16736",1947-12-17,Egypt,85.76,Person
198,Mrs. Melissa Elliott,"112 Christopher Plain
Castroport, WI 51927",2020-08-24,Lesotho,94.5,Company
199,Anthony King,"5508 Austin Lane
Lopezstad, PA 84988",1962-09-14,Lao People's Democratic Republic,4.77,Person
200,James Miller,"1507 Lindsay Junctions Suite 488
Port Melissa, MT 10112",1976-01-09,Kyrgyz Republic,32.73,Company
201,Beth Harris,"91966 Jorge Station
Port Cody, IL 85963",1989-11-10,Sweden,3.22,Person
202,Daniel Tapia,"3296 Joyce Greens Apt. 191
East Ronald, WV 58221",2023-07-11,Samoa,17.53,Company
203,Teresa Pierce,"9012 Bailey Hollow Suite 080
Grantview, AK 39442",1958-02-11,Panama,48.76,Company
204,Jasmine Sexton,"285 Hopkins Extension
Brandystad, MP 98271",1943-08-04,French Polynesia,73.61,Company
205,Michael Gomez,"352 Smith Field
New Robertmouth, UT 70532",1960-12-19,Lesotho,51.63,Company
206,Mathew Wright,"222 Carter Flat Suite 588
Port Davidview, CO 12316",1911-10-06,Belarus,42.73,Person
207,Jason Herring,"56874 Christine Ridges Apt. 033
Lake Bonnie, PR 72982",1935-12-07,Iceland,62.72,Company
208,Brandy Macias,"3023 Tyler Brook Suite 087
Barkermouth, AR 22552",1961-01-03,Finland,70.01,Person
209,Janet Zamora,"8972 Jennifer Highway
Edwardsport, LA 75615",1951-05-08,Timor-Leste,33.08,Person
210,Nathan Saunders,"94339 Karen Common
North Brenda, OH 67953",1912-01-22,Niger,72.2,Company
211,Marissa Baker,"70830 Johnson Pass Suite 755
Michaelmouth, MD 30242",1931-07-27,Malawi,15.6,Person
212,Charles Payne,"USS Snow
FPO AE 13342",1964-04-04,Poland,5.66,Company
213,Gerald Gaines,"59597 Lauren Turnpike Suite 431
New Zacharyborough, WA 24707",1971-06-18,Czech Republic,56.8,Person
214,Daniel King,"46426 Sarah Forks Apt. 007
Phillipsfort, AR 78103",1941-04-28,Zimbabwe,20.97,Company
215,Hannah Cohen,"106 Jose Point Apt. 079
Morantown, TN 56834",1967-06-05,Cameroon,29.13,Company
216,Nicole Johnson,"171 Troy Ville
West William, AK 69844",1960-03-09,Norway,4.38,Person
217,Kelly Carr,"761 Gray Pike
Port Kevinberg, MI 37980",2019-02-11,Venezuela,83.37,Person
218,Amanda Rodriguez,"1847 Brandon Pine Apt. 564
Joyceland, GU 50255",1996-08-07,Brunei Darussalam,25.2,Person
219,Cory Wilkins,"6329 Miller Island
Port Brandi, SC 71599",2019-12-25,Mali,68.14,Person
220,Derek Price,"78827 Teresa Ranch Suite 023
Rosalesborough, TX 93058",1958-04-14,Niue,74.12,Company
221,Ryan Wise,"19983 Marco Gateway Suite 392
Port Tylerbury, MO 22936",1958-02-18,Zambia,59.54,Company
222,Jason Holland DDS,"25269 Michelle Burg
East Karlland, PA 84847",1964-10-14,Gibraltar,95.51,Company
223,Eric Austin,"70734 Thompson Lock Apt. 141
South Shelia, MI 77577",1987-04-09,Cote d'Ivoire,84.4,Person
224,David Jones,"9950 Romero Orchard
West Emilyfurt, AS 18613",2002-03-11,Belize,38.34,Person
225,Heather Shaw,"3848 Christopher Prairie Apt. 144
New Timothyhaven, AZ 91794",1935-08-12,Heard Island and McDonald Islands,62.44,Person
226,Mr. Scott Pugh,"07873 Boyd Lodge
Curryshire, VT 55069",2006-02-26,Peru,1.33,Person
227,Courtney Shannon,"7680 Karen Flats
East Timothy, NH 92136",1969-06-30,Andorra,99.63,Person
228,Joshua Vasquez,"USNV Fuentes
FPO AP 29104",1956-06-21,Bolivia,62.65,Company
229,Taylor Cortez,"154 Courtney Summit
Duncanview, NJ 75644",1932-03-04,Cambodia,46.51,Person
230,Steven Cherry,"9300 Amy Way Apt. 726
Ianstad, CT 58480",1923-09-19,Georgia,6.62,Company
231,Amanda Stevens,"PSC 2578, Box 7734
APO AA 30377",1962-11-16,Latvia,75.43,Company
232,Tina Brown,"646 Armstrong Mountain
Alvarezmouth, RI 84802",2004-06-09,Nauru,50.13,Company
233,Andrew Hernandez,"0473 Victoria Port Apt. 712
Johnland, NE 14795",1995-04-26,Zimbabwe,99.24,Person
234,Gabriel Ramirez,"505 Diane Crossing
Port Sarahport, IL 74425",1975-11-19,Croatia,3.62,Person
235,Debbie Torres,"307 Joshua Fields
North Jermaine, MH 87114",2012-03-02,Colombia,92.57,Person
236,Kyle Heath,"7963 Walsh Fork
North Anthonyborough, NV 20446",1947-09-10,Mauritania,76.64,Company
237,Michael Cruz,"PSC 5119, Box 1156
APO AE 69064",1945-03-01,Guadeloupe,77.59,Person
238,Jason Davenport,"99071 Michael Shoal Suite 144
West Markbury, WY 87485",1982-11-18,Rwanda,47.48,Person
239,Hannah Kelly,"8364 Mendez Passage
Danieltown, ND 95171",1971-09-15,Serbia,56.56,Person
240,Joshua Scott,"121 Stevenson Fall Suite 653
West Darrell, OH 30177",1978-07-13,Lebanon,8.06,Company
241,Brenda Macdonald,"79747 Tiffany Shoals Apt. 851
Lake Jenniferfurt, OR 05900",1962-03-09,Cook Islands,41.7,Company
